stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
28,0.5,2.0,31.76439189980738,,31.74685569992289,31.76439189980738,32.24968529981561,32.24968529981561,32.264600900001824,32.564707399811596,33.04795129992999,left,-2.0,1,1,0.7931878000963479,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
29,0.5,1.5,33.06448739999905,,33.04825439979322,33.06448739999905,33.54860749980435,33.54860749980435,33.56452489993535,33.86343359993771,34.28105259989388,left,-1.5,1,1,0.7211018002126366,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
30,0.5,1.5,34.2971155999694,,34.281532699940726,34.2971155999694,34.78042329987511,34.78042329987511,34.79826239985414,35.07939579989761,35.58166899997741,right,1.5,1,1,0.7975037000142038,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
31,0.5,1.5,35.59848919999786,,35.581952599808574,35.59848919999786,36.09846289991401,36.09846289991401,36.09846289991401,36.39825959992595,36.78379709995352,left,-1.5,1,1,0.6697852001525462,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
32,0.5,1.0,36.79928529984318,,36.78408689983189,36.79928529984318,37.29682889999822,37.29682889999822,37.31304269982502,37.596632699947804,37.83289119997062,right,1.0,0,0,0.5333469000179321,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
33,0.5,1.5,37.84751799982041,,37.83320220001042,37.84751799982041,38.34689179994166,38.34689179994166,38.34689179994166,38.64689199998975,38.948787699919194,right,1.5,1,1,0.5876205000095069,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
34,0.5,1.5,38.963836499955505,,38.94902329985052,38.963836499955505,39.45003929990344,39.45003929990344,39.46666789986193,39.76499019982293,39.96454449999146,right,1.5,1,1,0.5111589001026005,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
35,0.5,1.5,39.980602299794555,,39.96484579984099,39.980602299794555,40.46443219995126,40.46443219995126,40.4805889998097,40.76621349994093,41.3484051998239,left,-1.5,1,1,0.872924700146541,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
36,0.5,1.0,41.36409149994142,,41.34866869985126,41.36409149994142,41.8641895998735,41.8641895998735,41.8641895998735,42.164242199854925,42.399694399908185,right,1.0,1,1,0.5260686001274735,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
37,0.5,1.0,42.41520149982534,,42.40006519993767,42.41520149982534,42.91364769986831,42.91364769986831,42.91364769986831,43.2133290998172,43.46586489980109,left,-1.0,1,1,0.5481118999887258,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
38,0.5,1.0,43.48076379997656,,43.466134999878705,43.48076379997656,43.980021599913016,43.980021599913016,43.980021599913016,44.28135389997624,44.93370019993745,left,-1.0,1,1,0.938045300077647,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
39,0.5,1.0,44.948570400010794,,44.93397409981117,44.948570400010794,45.44791359989904,45.44791359989904,45.44791359989904,45.749176800018176,46.26364449993707,left,-1.0,1,1,0.8065645999740809,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
40,0.5,1.0,46.27946919994429,,46.26390219992027,46.27946919994429,46.764697399921715,46.764697399921715,46.780854699900374,47.06368379993364,47.36368259997107,left,-1.0,1,1,0.59375,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
41,0.5,1.0,47.379895999794826,,47.36391899990849,47.379895999794826,47.86398669984192,47.86398669984192,47.88208269979805,48.16586249996908,49.1644621999003,left,-1.0,1,1,1.296974000055343,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
42,0.5,1.0,49.18087419983931,,49.16469409991987,49.18087419983931,49.66368919983506,49.66368919983506,49.68016459979117,49.964461399940774,50.348063400015235,right,1.0,1,1,0.6681925000157207,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
43,0.5,1.0,50.36411859979853,,50.34840049990453,50.36411859979853,50.86469309986569,50.86469309986569,50.86469309986569,51.16356099979021,51.66591309988871,right,1.0,1,1,0.7893907001707703,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
44,0.5,1.0,51.68210779991932,,51.6662553998176,51.68210779991932,52.181999599793926,52.181999599793926,52.181999599793926,52.49657459999435,52.529399499995634,right,1.0,1,1,0.33650089986622334,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
45,0.5,1.0,52.54637259989977,,52.52959079993889,52.54637259989977,53.02912969980389,53.02912969980389,53.045930499909446,53.331827899906784,53.53059819992632,right,1.0,1,1,0.48841340001672506,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
46,0.5,1.0,53.547724299831316,,53.53087319992483,53.547724299831316,54.03113129991107,54.03113129991107,54.047534599900246,54.33265209989622,54.682115899864584,left,-1.0,0,0,0.635122099891305,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
47,0.5,1.5,54.6975853999611,,54.6823833999224,54.6975853999611,55.196473399875686,55.196473399875686,55.196473399875686,55.497216399991885,55.68270849995315,right,1.5,0,0,0.475663400022313,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
48,0.5,2.0,55.699292599922046,,55.68299639993347,55.699292599922046,56.197253099875525,56.197253099875525,56.21496789995581,56.49782739998773,56.81545819994062,left,-2.0,1,1,0.6053487001918256,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
49,0.5,2.0,56.83005569991656,,56.81586939981207,56.83005569991656,57.31397119979374,57.31397119979374,57.33112909994088,57.61455479986034,57.997028399957344,left,-2.0,1,1,0.67659020004794,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
