reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
88,99,172,45,45,0,t,3.19495000000461,None,0,45,45,26,121.9190774000017,,121.91040530000464,121.9190774000017,122.90236959999311,122.90236959999311,122.91905110000516,126.10204329999397,t,3.19495000000461,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
5,9,23,46,46,0,l,1.5979111000197008,None,0,46,46,11,126.11812309999368,,126.11116289999336,126.11812309999368,127.10235869997996,127.10235869997996,127.11915650000446,128.7025197999901,l,1.5979111000197008,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
45,49,38,47,47,0,t,1.113442700006999,None,0,47,47,39,128.71869270000025,,128.70953969997936,128.71869270000025,129.70240690000355,129.70240690000355,129.71908519999124,130.81915559998015,t,1.113442700006999,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
32,66,180,48,48,0,t,3.4008682999992743,None,0,48,48,84,130.83546679999563,,130.8270957999921,130.83546679999563,131.8346099999908,131.8346099999908,131.8346099999908,135.23654759998317,t,3.4008682999992743,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
92,93,80,49,49,0,t,1.8826655000157189,None,0,49,49,5,135.25215169999865,,135.2429051999934,135.25215169999865,136.25169189998996,136.25169189998996,136.25169189998996,138.13643379998393,t,1.8826655000157189,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
48,99,178,50,50,0,l,3.2819888000085484,None,0,50,50,64,138.1520821999875,,138.14402939999127,138.1520821999875,139.152224999998,139.152224999998,139.152224999998,142.43609050000669,l,3.2819888000085484,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
45,83,199,51,51,0,t,1.4736419999971986,None,0,51,51,19,142.45182779998868,,142.44375330000184,142.45182779998868,143.43552269999054,143.43552269999054,143.45204800000647,144.91956449998543,t,1.4736419999971986,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
28,41,122,52,52,0,t,1.4558596000133548,None,0,52,52,50,144.93533589999424,,144.92749339999864,144.93533589999424,145.91886360000353,145.91886360000353,145.93551029998343,147.38614170000073,t,1.4558596000133548,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
95,99,33,53,53,0,t,0.93402819999028,None,0,53,53,13,147.40114679999533,,147.39492560000508,147.40114679999533,148.40102109999862,148.40102109999862,148.40102109999862,149.33648379999795,t,0.93402819999028,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
55,58,85,54,54,0,t,1.4202890000015032,None,0,54,54,18,149.35117859998718,,149.34510269999737,149.35117859998718,150.35118110000622,150.35118110000622,150.35118110000622,151.78483779999078,t,1.4202890000015032,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
73,89,30,55,55,0,t,2.9160195000004023,None,0,55,55,44,151.80119870000635,,151.79092629998922,151.80119870000635,152.7850467999815,152.7850467999815,152.80171259999042,155.70273970000562,t,2.9160195000004023,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
45,48,62,56,56,0,t,0.7093396999989636,None,0,56,56,8,155.71851279999828,,155.70983330000308,155.71851279999828,156.71756259998074,156.71756259998074,156.71756259998074,157.43607279998832,t,0.7093396999989636,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
75,100,37,57,57,0,t,1.05851740000071,None,0,57,57,66,157.45140239998,,157.4449484999932,157.45140239998,158.45085419999668,158.45085419999668,158.45085419999668,159.51875859999564,t,1.05851740000071,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
38,63,76,58,58,0,t,0.7075905000092462,None,0,58,58,85,159.53438959998311,,159.52937619999284,159.53438959998311,160.5186732999864,160.5186732999864,160.53529349999735,161.23541269998532,t,0.7075905000092462,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
25,75,65,59,59,0,t,1.0646985000057612,None,0,59,59,70,161.25148529998842,,161.24117259998457,161.25148529998842,162.23525579998386,162.23525579998386,162.25180699999328,163.30175349998171,t,1.0646985000057612,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
39,84,104,60,60,0,t,1.6688489000080153,None,0,60,60,57,163.31777090000105,,163.3092423999915,163.31777090000105,164.30184119998012,164.30184119998012,164.31843789998675,165.98577569998452,t,1.6688489000080153,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
17,79,11,61,61,0,l,1.2604553000128362,None,0,61,61,88,166.00164740000037,,165.99289699998917,166.00164740000037,166.98531759998878,166.98531759998878,167.0018759999948,168.25278979999712,l,1.2604553000128362,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
74,94,21,62,62,0,l,1.064242699998431,None,0,62,62,48,168.26838189997943,,168.2613647999824,168.26838189997943,169.26837479998358,169.26837479998358,169.26837479998358,170.33567070000572,l,1.064242699998431,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
43,76,83,63,63,0,t,0.6735044000088237,None,0,63,63,67,170.35131219998584,,170.3434350999887,170.35131219998584,171.33508200000506,171.33508200000506,171.35180579998996,172.01870869999402,t,0.6735044000088237,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
21,44,87,64,64,0,t,0.35372600000118837,None,0,64,64,69,172.0347569999867,,172.02449589999742,172.0347569999867,173.0180255000014,173.0180255000014,173.03478299998096,173.38617709997925,t,0.35372600000118837,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
1,72,95,65,65,0,l,1.139035200001672,None,0,65,65,71,173.40060269998503,,173.3958680999931,173.40060269998503,174.40130249998765,174.40130249998765,174.40130249998765,175.55181569998967,l,1.139035200001672,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
99,100,98,66,66,0,t,1.5377691999892704,None,0,66,66,15,175.56787050000275,,175.55730949999997,175.56787050000275,176.5508043000009,176.5508043000009,176.56739729997935,178.10240149998572,t,1.5377691999892704,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
63,68,99,67,67,0,t,0.6879538999928627,None,0,67,67,60,178.11757329999818,,178.11271059999126,178.11757329999818,179.11835370000335,179.11835370000335,179.11835370000335,179.8187776999839,t,0.6879538999928627,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
82,95,10,68,68,0,l,0.7985495000029914,None,0,68,68,35,179.83454979999806,,179.8247274000023,179.83454979999806,180.835181500006,180.835181500006,180.835181500006,181.63570779998554,l,0.7985495000029914,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
96,98,57,69,69,0,t,0.8660347000113688,None,0,69,69,40,181.65112679998856,,181.64316939999117,181.65112679998856,182.6345025000046,182.6345025000046,182.65156379999826,183.50239249999868,t,0.8660347000113688,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
39,47,4,70,70,0,l,0.7612222000025213,None,0,70,70,12,183.51802319998387,,183.50901829998475,183.51802319998387,184.517901299987,184.517901299987,184.517901299987,185.28530049999245,l,0.7612222000025213,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
61,64,18,71,71,0,t,1.2829781000036746,None,0,71,71,4,185.30094699998153,,185.29424339998513,185.30094699998153,186.30046749999747,186.30046749999747,186.30046749999747,187.5852872999967,t,1.2829781000036746,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
58,100,73,72,72,0,t,0.7107001999975182,None,0,72,72,74,187.60041949999868,,187.59294209998916,187.60041949999868,188.60072799999034,188.60072799999034,188.60072799999034,189.31826869997894,t,0.7107001999975182,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
54,65,58,73,73,0,t,0.6747505000093952,None,0,73,73,10,189.33442739999737,,189.32572289998643,189.33442739999737,190.3346707999881,190.3346707999881,190.3346707999881,191.01849699998274,t,0.6747505000093952,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
95,97,89,74,74,0,t,0.7984319999814034,None,0,74,74,76,191.03428120000171,,191.02574849998928,191.03428120000171,192.01802379998844,192.01802379998844,192.03456189998542,192.81888299999991,t,0.7984319999814034,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
78,89,168,75,75,0,t,0.8704097000008915,None,0,75,75,99,192.8347092999902,,192.82682889999705,192.8347092999902,193.81805659999372,193.81805659999372,193.83472529999563,194.70218439999735,t,0.8704097000008915,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
6,36,24,76,76,0,l,2.4003891999891493,None,0,76,76,77,194.7172607999819,,194.71089180000126,194.7172607999819,195.71772859999328,195.71772859999328,195.71772859999328,198.13553539998247,l,2.4003891999891493,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
28,83,16,77,77,0,l,1.940738400007831,None,0,77,77,63,198.15116019998095,,198.14428089998546,198.15116019998095,199.15076389999012,199.15076389999012,199.15076389999012,201.1014981000044,l,1.940738400007831,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
60,61,91,78,78,0,t,0.6653652999957558,None,0,78,78,86,201.11758999997983,,201.10842539998703,201.11758999997983,202.1177822999889,202.1177822999889,202.1177822999889,202.78533509999397,t,0.6653652999957558,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
70,92,15,79,79,0,t,1.4536309000104666,None,0,79,79,28,202.8008575999993,,202.79257229997893,202.8008575999993,203.78454819999752,203.78454819999752,203.80142459998024,205.2505259999889,t,1.4536309000104666,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
71,89,66,80,80,0,t,0.631121999991592,None,0,80,80,49,205.26691469998332,,205.2579315000039,205.26691469998332,206.25116240000352,206.25116240000352,206.26780989998952,206.8853334999876,t,0.631121999991592,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
35,83,88,81,81,0,t,0.832028500008164,None,0,81,81,16,206.90061280000373,,206.8952505000052,206.90061280000373,207.90084230000502,207.90084230000502,207.90084230000502,208.73483959998703,t,0.832028500008164,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
